RanksRaenge colorsFarben privilegesPrivilegien statusStatus degreeGrad gradeGrad hierarchyHierarchie forFuer twelveZwoelf L L dodecadegramDodekadegramm byDurch multiverseMultiversum P P dimensionDimension thirteenDreizehn signalsSignale soDamit colorsFarben colorfulBunt;;;;
yellowGelb;firstErste;MixtureMischung FirstErste secondZweite isIst greenGruen;A;
blueBlau;secondZweite;MixtureMischung FirstErste secondZweite isIst greenGruen andUnd butAber mixtureMischung secondZweite thirdDritte isIst purpileLila;B;
redRot;thirdDritte;MixtureMischung secondZweite thirdDritte isIst purpileLila;C;
violetViolett (representsRepreasentiert ultruUltra violetViolett);fourthVierte;;D;
DeepTiefen greenGruen (representsRepreasentiert infraInfra redRot) (forFuer usUns normallyNormalerweise blackSchwarz);fifefthFuenfte;;E;
OrgangeOrgange withMit redRot (representsRepreasentiert x-rayRoentgen beamStrahlen radiationStrahlung);sixthSechste;;F;
WhiteWeiss brightHell brownBraun (mixMischung redRot blueBlau yellowGelb isIst brownBraun)  (representsRepreasentiert microMikro wavesWellen)  (forFuer usUns normallyNormalerweise whiteWeiss);seventhSiebte;;G;
