DegreesGrade RanksRaenge planetPlaneten spaceRaum stationsStationen habitatsHabitate correctionKorrigierung optimizationOptimierung oneEins A A dotPunkt dividedGeteilt byDurch wholeGanze naturalNatuerliche numberZahl n n asAls equalGleich signedFoermige polygonsPolygone, decagramDekagramm tenZehn J J;;
PlanetPlaneten relatorBeziehor moonMond comparorVergleichor;Punkton;
PlanetPlaneten methodorMethodikor moonMond makeMachen wayWeg shaporGestaltor;Diagon;
PlanetPlaneten conditionorBedingoror moonMond dependerorAbhaengigoror;Triagon;
PlanetPlaneten consumorKonsumentor moonMond makeMachen furthororWeiteror;Quadron;
PlanetPlaneten continuatorWeiterfuehror moonMond makeMachen furthororWeiteror;Heptagon;
PlanetPlaneten cleanerSaeuberer moonMond cleanSauber sweeperKehrer;Hexagon;
PlanetPlaneten situatorSituationor moonMond cleanSauber positionorPositionieror;Heptagon;
PlanetPlaneten lawGesetze makorMachor moonMond justicatorGerechtigkeitor judgeRichter courtGerichtshof;Oktagon;
PlanetPlaneten categorizorKategorisieror moonMond formulaFormel signorZeichnor boxesKasten;Nonagon;
PlanetPlaneten semanticSemantischer definorDefinieror moonMond objectObjekt meaningBedeutungs adjustorZuweisor;Dekagon;
